email,current_placement,first_choice,second_choice,third_choice
user53@example.com,Addington Hospital,Sebokeng Hospital,Themba Hospital,George Hospital
user54@example.com,Addington Hospital,Bongani Hospital,Chris Hani Baragwanath Hospital,Mapulaneng Hospital
user55@example.com,Addington Hospital,Livingstone Hospital,New Somerset Hospital,Thelle Mogoerane Regional Hospital
user56@example.com,Addington Hospital,"Ngwelezana Hospital, Empangeni",Rob Ferreira Hospital,Tambo Memorial Hospital
user57@example.com,Addington Hospital,Livingstone Hospital,Rob Ferreira Hospital,Tembisa Hospital
user58@example.com,Addington Hospital,Steve Biko Academic Hospital,Chris Hani Baragwanath Hospital,Livingstone Hospital
user59@example.com,Addington Hospital,Bongani Hospital,Thelle Mogoerane Regional Hospital,Tembisa Hospital
user60@example.com,Addington Hospital,Mokopane Hospital,Leratong Hospital,Mankweng Hospital
user61@example.com,Addington Hospital,General Justice Gizenga Mpanza Hospital,RK Khan Hospital,Prince Mshiyeni Memorial Hospital
user62@example.com,Addington Hospital,Tambo Memorial Hospital,Tygerberg Hospital,Port Shepstone Hospital
user63@example.com,Addington Hospital,Leratong Hospital,Robert Mangaliso Sobukwe Hospital,Livingstone Hospital
user64@example.com,Addington Hospital,Port Shepstone Hospital,Prince Mshiyeni Memorial Hospital,Rob Ferreira Hospital
user65@example.com,Addington Hospital,Edenvale Hospital,Paarl Hospital,Robert Mangaliso Sobukwe Hospital
user66@example.com,Addington Hospital,Thelle Mogoerane Regional Hospital,Klerksdorp-Tshepong Tertiary Hospital,Sebokeng Hospital
user67@example.com,Addington Hospital,Leratong Hospital,Port Shepstone Hospital,Grey's Hospital
user68@example.com,Addington Hospital,Potchefstroom Hospital,General Justice Gizenga Mpanza Hospital,Tembisa Hospital
user69@example.com,Addington Hospital,Sebokeng Hospital,Livingstone Hospital,George Hospital
user70@example.com,Addington Hospital,Paarl Hospital,Thelle Mogoerane Regional Hospital,Livingstone Hospital
user71@example.com,Addington Hospital,Khayelitsha Hospital,Rob Ferreira Hospital,Mokopane Hospital
user72@example.com,Boitumelo Hospital,Letaba Hospital,Leratong Hospital,Nelson Mandela Academic Hospital
user73@example.com,Boitumelo Hospital,Port Shepstone Hospital,Themba Hospital,Kalafong Hospital
user74@example.com,Boitumelo Hospital,New Somerset Hospital,Tambo Memorial Hospital,Grey's Hospital
user75@example.com,Boitumelo Hospital,Mofumahadi Manapo Mopeli Hospital,"Ngwelezana Hospital, Empangeni",Grey's Hospital
user76@example.com,Boitumelo Hospital,Grey's Hospital,Port Shepstone Hospital,George Hospital
user77@example.com,Boitumelo Hospital,General Justice Gizenga Mpanza Hospital,Helderberg Hospital,Prince Mshiyeni Memorial Hospital
user78@example.com,Boitumelo Hospital,Klerksdorp-Tshepong Tertiary Hospital,Grey's Hospital,Job Shimankana Tabane Hospital
user79@example.com,Boitumelo Hospital,George Hospital,General Justice Gizenga Mpanza Hospital,Sebokeng Hospital
user80@example.com,Boitumelo Hospital,Leratong Hospital,Paarl Hospital,George Hospital
user81@example.com,Boitumelo Hospital,Mokopane Hospital,Port Shepstone Hospital,Worcester Hospital
user82@example.com,Boitumelo Hospital,Grey's Hospital,Leratong Hospital,Witbank Hospital
user83@example.com,Boitumelo Hospital,Elim Hospital,Frere Hospital,Mankweng Hospital
user84@example.com,Boitumelo Hospital,Mitchells Plain Hospital,Mankweng Hospital,Ermelo Hospital
user85@example.com,Boitumelo Hospital,Letaba Hospital,Nelson Mandela Academic Hospital,Paarl Hospital
user86@example.com,Boitumelo Hospital,Witbank Hospital,St Rita's Hospital,Tygerberg Hospital
user87@example.com,Boitumelo Hospital,Mokopane Hospital,Grey's Hospital,Letaba Hospital
user88@example.com,Bongani Hospital,General Justice Gizenga Mpanza Hospital,Livingstone Hospital,"Ngwelezana Hospital, Empangeni"
user89@example.com,Bongani Hospital,Sebokeng Hospital,Rob Ferreira Hospital,General Justice Gizenga Mpanza Hospital
user90@example.com,Bongani Hospital,Pelonomi Hospital,Prince Mshiyeni Memorial Hospital,Livingstone Hospital
user91@example.com,Bongani Hospital,New Somerset Hospital,Livingstone Hospital,Tygerberg Hospital
user92@example.com,Bongani Hospital,Port Shepstone Hospital,Dihlabeng Hospital,George Hospital
user93@example.com,Bongani Hospital,Paarl Hospital,Frere Hospital,Witbank Hospital
user94@example.com,Bongani Hospital,Grey's Hospital,Helen Joseph Hospital,Frere Hospital
user95@example.com,Bongani Hospital,Thelle Mogoerane Regional Hospital,George Hospital,Livingstone Hospital
user96@example.com,Bongani Hospital,Port Shepstone Hospital,Frere Hospital,Sebokeng Hospital
user97@example.com,Bongani Hospital,Leratong Hospital,Potchefstroom Hospital,Prince Mshiyeni Memorial Hospital
user98@example.com,Bongani Hospital,Helen Joseph Hospital,Paarl Hospital,Rob Ferreira Hospital
user99@example.com,Bongani Hospital,Witbank Hospital,RK Khan Hospital,Frere Hospital
user100@example.com,Bongani Hospital,Livingstone Hospital,Job Shimankana Tabane Hospital,Sebokeng Hospital
user101@example.com,Bongani Hospital,Frere Hospital,Prince Mshiyeni Memorial Hospital,Port Shepstone Hospital
user102@example.com,Bongani Hospital,Paarl Hospital,Port Shepstone Hospital,Witbank Hospital
user103@example.com,Bongani Hospital,Khayelitsha Hospital,"Madadeni Hospital, New Castle",Paarl Hospital
user104@example.com,Bongani Hospital,Addington Hospital,Mokopane Hospital,Klerksdorp-Tshepong Tertiary Hospital
user105@example.com,Bongani Hospital,Leratong Hospital,Sebokeng Hospital,Prince Mshiyeni Memorial Hospital
user106@example.com,Charlotte Maxeke Hospital,Livingstone Hospital,Potchefstroom Hospital,Witbank Hospital
user107@example.com,Charlotte Maxeke Hospital,General Justice Gizenga Mpanza Hospital,Frere Hospital,Ladysmith Hospital
user108@example.com,Charlotte Maxeke Hospital,Job Shimankana Tabane Hospital,Grey's Hospital,Sebokeng Hospital
user109@example.com,Charlotte Maxeke Hospital,Livingstone Hospital,Job Shimankana Tabane Hospital,Leratong Hospital
user110@example.com,Charlotte Maxeke Hospital,Kalafong Hospital,Tygerberg Hospital,Port Shepstone Hospital
user111@example.com,Charlotte Maxeke Hospital,Grey's Hospital,Tshilidzine Hospital,Lebowakgomo Hospital
user112@example.com,Charlotte Maxeke Hospital,George Hospital,Mankweng Hospital,Witbank Hospital
user113@example.com,Charlotte Maxeke Hospital,Klerksdorp-Tshepong Tertiary Hospital,Tygerberg Hospital,Kalafong Hospital
user114@example.com,Charlotte Maxeke Hospital,Livingstone Hospital,Letaba Hospital,Prince Mshiyeni Memorial Hospital
user115@example.com,Charlotte Maxeke Hospital,Klerksdorp-Tshepong Tertiary Hospital,Kalafong Hospital,Mapulaneng Hospital
user116@example.com,Charlotte Maxeke Hospital,Witbank Hospital,Grey's Hospital,General Justice Gizenga Mpanza Hospital
user117@example.com,Charlotte Maxeke Hospital,Grey's Hospital,Paarl Hospital,Sebokeng Hospital
user118@example.com,Charlotte Maxeke Hospital,Cofimvaba Hospital,Rob Ferreira Hospital,Witbank Hospital
user119@example.com,Charlotte Maxeke Hospital,Rob Ferreira Hospital,Tygerberg Hospital,Grey's Hospital
user120@example.com,Charlotte Maxeke Hospital,Worcester Hospital,Livingstone Hospital,Edenvale Hospital
user121@example.com,Charlotte Maxeke Hospital,Paarl Hospital,Potchefstroom Hospital,Livingstone Hospital
user122@example.com,Charlotte Maxeke Hospital,Victoria Hospital,Mapulaneng Hospital,Leratong Hospital
user123@example.com,Charlotte Maxeke Hospital,Port Shepstone Hospital,RK Khan Hospital,Sebokeng Hospital
user124@example.com,Charlotte Maxeke Hospital,Witbank Hospital,Sebokeng Hospital,Joe Morolong Memorial Hospital
user125@example.com,Charlotte Maxeke Hospital,Rob Ferreira Hospital,General Justice Gizenga Mpanza Hospital,Worcester Hospital
user126@example.com,Charlotte Maxeke Hospital,General Justice Gizenga Mpanza Hospital,Klerksdorp-Tshepong Tertiary Hospital,Grey's Hospital
user127@example.com,Charlotte Maxeke Hospital,Victoria Hospital,General Justice Gizenga Mpanza Hospital,Leratong Hospital
user128@example.com,Charlotte Maxeke Hospital,Pholosong Hospital,Groote Schuur Hospital,Kalafong Hospital
user129@example.com,Charlotte Maxeke Hospital,Frere Hospital,Thelle Mogoerane Regional Hospital,RK Khan Hospital
user130@example.com,Charlotte Maxeke Hospital,George Hospital,"Ngwelezana Hospital, Empangeni",General Justice Gizenga Mpanza Hospital
user131@example.com,Charlotte Maxeke Hospital,Thelle Mogoerane Regional Hospital,Kalafong Hospital,General Justice Gizenga Mpanza Hospital
user132@example.com,Charlotte Maxeke Hospital,"Madadeni Hospital, New Castle",Port Shepstone Hospital,Paarl Hospital
user133@example.com,Charlotte Maxeke Hospital,Witbank Hospital,Steve Biko Academic Hospital,Rob Ferreira Hospital
user134@example.com,Charlotte Maxeke Hospital,Ladysmith Hospital,Helen Joseph Hospital,Livingstone Hospital
user135@example.com,Charlotte Maxeke Hospital,Edenvale Hospital,Helen Joseph Hospital,Leratong Hospital
user136@example.com,Charlotte Maxeke Hospital,Livingstone Hospital,General Justice Gizenga Mpanza Hospital,Grey's Hospital
user137@example.com,Charlotte Maxeke Hospital,Klerksdorp-Tshepong Tertiary Hospital,Addington Hospital,Robert Mangaliso Sobukwe Hospital
user138@example.com,Charlotte Maxeke Hospital,Dr George Mukhari Hospital,Klerksdorp-Tshepong Tertiary Hospital,George Hospital
user139@example.com,Charlotte Maxeke Hospital,Job Shimankana Tabane Hospital,Mokopane Hospital,Livingstone Hospital
user140@example.com,Charlotte Maxeke Hospital,Paarl Hospital,Kalafong Hospital,Nelson Mandela Academic Hospital
user141@example.com,Charlotte Maxeke Hospital,Chris Hani Baragwanath Hospital,Mokopane Hospital,Port Shepstone Hospital
user142@example.com,Charlotte Maxeke Hospital,Prince Mshiyeni Memorial Hospital,Mankweng Hospital,Mokopane Hospital
user143@example.com,Charlotte Maxeke Hospital,Mankweng Hospital,Klerksdorp-Tshepong Tertiary Hospital,Prince Mshiyeni Memorial Hospital
user144@example.com,Charlotte Maxeke Hospital,Rob Ferreira Hospital,Tygerberg Hospital,Pelonomi Hospital
user145@example.com,Charlotte Maxeke Hospital,Sebokeng Hospital,Prince Mshiyeni Memorial Hospital,"Madadeni Hospital, New Castle"
user146@example.com,Charlotte Maxeke Hospital,Klerksdorp-Tshepong Tertiary Hospital,General Justice Gizenga Mpanza Hospital,Kalafong Hospital
user147@example.com,Charlotte Maxeke Hospital,Rob Ferreira Hospital,Edenvale Hospital,Mankweng Hospital
user148@example.com,Chris Hani Baragwanath Hospital,Potchefstroom Hospital,Sebokeng Hospital,Nelson Mandela Academic Hospital
user149@example.com,Chris Hani Baragwanath Hospital,Prince Mshiyeni Memorial Hospital,Nelson Mandela Academic Hospital,Mankweng Hospital
user150@example.com,Chris Hani Baragwanath Hospital,"Ngwelezana Hospital, Empangeni",Paarl Hospital,Robert Mangaliso Sobukwe Hospital
user151@example.com,Chris Hani Baragwanath Hospital,George Hospital,Witbank Hospital,Kalafong Hospital
user152@example.com,Chris Hani Baragwanath Hospital,Nelson Mandela Academic Hospital,Paarl Hospital,Mahikeng Provincial Hospital
user153@example.com,Chris Hani Baragwanath Hospital,Mankweng Hospital,Dihlabeng Hospital,Livingstone Hospital
user154@example.com,Chris Hani Baragwanath Hospital,Boitumelo Hospital,"Ngwelezana Hospital, Empangeni",Themba Hospital
user155@example.com,Chris Hani Baragwanath Hospital,General Justice Gizenga Mpanza Hospital,Job Shimankana Tabane Hospital,Leratong Hospital
user156@example.com,Chris Hani Baragwanath Hospital,Worcester Hospital,Pholosong Hospital,Tembisa Hospital
user157@example.com,Chris Hani Baragwanath Hospital,George Hospital,Prince Mshiyeni Memorial Hospital,Mokopane Hospital
user158@example.com,Chris Hani Baragwanath Hospital,Letaba Hospital,Port Shepstone Hospital,"Madadeni Hospital, New Castle"
user159@example.com,Chris Hani Baragwanath Hospital,Tambo Memorial Hospital,Livingstone Hospital,Leratong Hospital
user160@example.com,Chris Hani Baragwanath Hospital,Rob Ferreira Hospital,Livingstone Hospital,Sebokeng Hospital
user161@example.com,Chris Hani Baragwanath Hospital,Worcester Hospital,Prince Mshiyeni Memorial Hospital,George Hospital
user162@example.com,Chris Hani Baragwanath Hospital,Sebokeng Hospital,Port Shepstone Hospital,Helen Joseph Hospital
user163@example.com,Chris Hani Baragwanath Hospital,Klerksdorp-Tshepong Tertiary Hospital,Livingstone Hospital,Rob Ferreira Hospital
user164@example.com,Chris Hani Baragwanath Hospital,Nelson Mandela Academic Hospital,Mahikeng Provincial Hospital,Grey's Hospital
user165@example.com,Chris Hani Baragwanath Hospital,George Hospital,Potchefstroom Hospital,"Madadeni Hospital, New Castle"
user166@example.com,Chris Hani Baragwanath Hospital,Frere Hospital,Potchefstroom Hospital,Witbank Hospital
user167@example.com,Chris Hani Baragwanath Hospital,Thelle Mogoerane Regional Hospital,Kalafong Hospital,"Madadeni Hospital, New Castle"
user168@example.com,Chris Hani Baragwanath Hospital,New Somerset Hospital,Witbank Hospital,Frere Hospital
user169@example.com,Chris Hani Baragwanath Hospital,"Ngwelezana Hospital, Empangeni",Witbank Hospital,George Hospital
user170@example.com,Chris Hani Baragwanath Hospital,Rob Ferreira Hospital,Mahikeng Provincial Hospital,"Madadeni Hospital, New Castle"
user171@example.com,Chris Hani Baragwanath Hospital,George Hospital,Leratong Hospital,St Rita's Hospital
user172@example.com,Chris Hani Baragwanath Hospital,Nelson Mandela Academic Hospital,Job Shimankana Tabane Hospital,Helderberg Hospital
user173@example.com,Chris Hani Baragwanath Hospital,Livingstone Hospital,Groote Schuur Hospital,Worcester Hospital
user174@example.com,Chris Hani Baragwanath Hospital,Tembisa Hospital,Mahikeng Provincial Hospital,Grey's Hospital
user175@example.com,Chris Hani Baragwanath Hospital,Klerksdorp-Tshepong Tertiary Hospital,Nelson Mandela Academic Hospital,Lebowakgomo Hospital
user176@example.com,Chris Hani Baragwanath Hospital,Port Shepstone Hospital,Mankweng Hospital,Paarl Hospital
user177@example.com,Chris Hani Baragwanath Hospital,Tshilidzine Hospital,Witbank Hospital,Worcester Hospital
user178@example.com,Chris Hani Baragwanath Hospital,Grey's Hospital,Livingstone Hospital,Robert Mangaliso Sobukwe Hospital
user179@example.com,Chris Hani Baragwanath Hospital,Helen Joseph Hospital,Prince Mshiyeni Memorial Hospital,Grey's Hospital
user180@example.com,Chris Hani Baragwanath Hospital,Klerksdorp-Tshepong Tertiary Hospital,George Hospital,King Edward VIII Hospital
user181@example.com,Chris Hani Baragwanath Hospital,Rob Ferreira Hospital,Leratong Hospital,Paarl Hospital
user182@example.com,Chris Hani Baragwanath Hospital,General Justice Gizenga Mpanza Hospital,Kalafong Hospital,Potchefstroom Hospital
user183@example.com,Chris Hani Baragwanath Hospital,Tygerberg Hospital,Job Shimankana Tabane Hospital,Paarl Hospital
user184@example.com,Chris Hani Baragwanath Hospital,General Justice Gizenga Mpanza Hospital,Letaba Hospital,Themba Hospital
user185@example.com,Chris Hani Baragwanath Hospital,RK Khan Hospital,Livingstone Hospital,Grey's Hospital
user186@example.com,Chris Hani Baragwanath Hospital,Mahikeng Provincial Hospital,Karl Bremer Hospital,George Hospital
user187@example.com,Chris Hani Baragwanath Hospital,Mokopane Hospital,Mankweng Hospital,Grey's Hospital
user188@example.com,Chris Hani Baragwanath Hospital,Leratong Hospital,Prince Mshiyeni Memorial Hospital,"Ngwelezana Hospital, Empangeni"
user189@example.com,Chris Hani Baragwanath Hospital,Potchefstroom Hospital,Pietersburg Hospital,Themba Hospital
user190@example.com,Chris Hani Baragwanath Hospital,Mokopane Hospital,"Madadeni Hospital, New Castle",Groote Schuur Hospital
user191@example.com,Chris Hani Baragwanath Hospital,Grey's Hospital,Paarl Hospital,Potchefstroom Hospital
user192@example.com,Chris Hani Baragwanath Hospital,Sebokeng Hospital,Leratong Hospital,Potchefstroom Hospital
user193@example.com,Chris Hani Baragwanath Hospital,Nelson Mandela Academic Hospital,Livingstone Hospital,Tygerberg Hospital
user194@example.com,Chris Hani Baragwanath Hospital,Leratong Hospital,Rob Ferreira Hospital,Mokopane Hospital
user195@example.com,Chris Hani Baragwanath Hospital,Klerksdorp-Tshepong Tertiary Hospital,Sebokeng Hospital,Joe Morolong Memorial Hospital
user196@example.com,Chris Hani Baragwanath Hospital,"Ngwelezana Hospital, Empangeni",Livingstone Hospital,Job Shimankana Tabane Hospital
user197@example.com,Chris Hani Baragwanath Hospital,Potchefstroom Hospital,Leratong Hospital,Tambo Memorial Hospital
user198@example.com,Chris Hani Baragwanath Hospital,Groote Schuur Hospital,Leratong Hospital,Paarl Hospital
user199@example.com,Chris Hani Baragwanath Hospital,SAMHS 2 Military Hospital,King Edward VIII Hospital,Paarl Hospital
user200@example.com,Chris Hani Baragwanath Hospital,Potchefstroom Hospital,Sebokeng Hospital,Thelle Mogoerane Regional Hospital
user201@example.com,Chris Hani Baragwanath Hospital,Livingstone Hospital,King Edward VIII Hospital,Port Shepstone Hospital
user202@example.com,Chris Hani Baragwanath Hospital,Potchefstroom Hospital,Grey's Hospital,Prince Mshiyeni Memorial Hospital
user203@example.com,Chris Hani Baragwanath Hospital,Paarl Hospital,George Hospital,Rob Ferreira Hospital
user204@example.com,Chris Hani Baragwanath Hospital,Potchefstroom Hospital,King Edward VIII Hospital,Rob Ferreira Hospital
user205@example.com,Chris Hani Baragwanath Hospital,Kalafong Hospital,"Ngwelezana Hospital, Empangeni",Paarl Hospital
user206@example.com,Chris Hani Baragwanath Hospital,Sebokeng Hospital,"Madadeni Hospital, New Castle",Frere Hospital
user207@example.com,Chris Hani Baragwanath Hospital,Robert Mangaliso Sobukwe Hospital,Potchefstroom Hospital,General Justice Gizenga Mpanza Hospital
user208@example.com,Chris Hani Baragwanath Hospital,George Hospital,Frere Hospital,Worcester Hospital
user209@example.com,Chris Hani Baragwanath Hospital,Port Shepstone Hospital,Paarl Hospital,Klerksdorp-Tshepong Tertiary Hospital
user210@example.com,Chris Hani Baragwanath Hospital,Letaba Hospital,Leratong Hospital,Dihlabeng Hospital
user211@example.com,Chris Hani Baragwanath Hospital,Klerksdorp-Tshepong Tertiary Hospital,Worcester Hospital,Boitumelo Hospital
user212@example.com,Chris Hani Baragwanath Hospital,Leratong Hospital,Victoria Hospital,Helderberg Hospital
user213@example.com,Chris Hani Baragwanath Hospital,"Madadeni Hospital, New Castle",Robert Mangaliso Sobukwe Hospital,Dihlabeng Hospital
user214@example.com,Chris Hani Baragwanath Hospital,George Hospital,"Madadeni Hospital, New Castle","Ngwelezana Hospital, Empangeni"
user215@example.com,Chris Hani Baragwanath Hospital,Mokopane Hospital,"Madadeni Hospital, New Castle",Worcester Hospital
user216@example.com,Chris Hani Baragwanath Hospital,Charlotte Maxeke Hospital,George Hospital,"Madadeni Hospital, New Castle"
user217@example.com,Chris Hani Baragwanath Hospital,Robert Mangaliso Sobukwe Hospital,Livingstone Hospital,Worcester Hospital
user218@example.com,Chris Hani Baragwanath Hospital,Sebokeng Hospital,Helderberg Hospital,George Hospital
user219@example.com,Chris Hani Baragwanath Hospital,Frere Hospital,Prince Mshiyeni Memorial Hospital,Grey's Hospital
user220@example.com,Chris Hani Baragwanath Hospital,Mankweng Hospital,Robert Mangaliso Sobukwe Hospital,Tygerberg Hospital
user221@example.com,Chris Hani Baragwanath Hospital,Charlotte Maxeke Hospital,Tambo Memorial Hospital,Helen Joseph Hospital
user222@example.com,Chris Hani Baragwanath Hospital,Frere Hospital,Paarl Hospital,King Edward VIII Hospital
user223@example.com,Chris Hani Baragwanath Hospital,Tygerberg Hospital,General Justice Gizenga Mpanza Hospital,Addington Hospital
user224@example.com,Chris Hani Baragwanath Hospital,George Hospital,Kalafong Hospital,Joe Morolong Memorial Hospital
user225@example.com,Chris Hani Baragwanath Hospital,Witbank Hospital,Robert Mangaliso Sobukwe Hospital,Leratong Hospital
user226@example.com,Chris Hani Baragwanath Hospital,Tambo Memorial Hospital,Worcester Hospital,Paarl Hospital
user227@example.com,Chris Hani Baragwanath Hospital,Sebokeng Hospital,Livingstone Hospital,Helderberg Hospital
user228@example.com,Chris Hani Baragwanath Hospital,General Justice Gizenga Mpanza Hospital,Paarl Hospital,Karl Bremer Hospital
user229@example.com,Chris Hani Baragwanath Hospital,Robert Mangaliso Sobukwe Hospital,Livingstone Hospital,Port Shepstone Hospital
user230@example.com,Chris Hani Baragwanath Hospital,Joe Morolong Memorial Hospital,Paarl Hospital,Robert Mangaliso Sobukwe Hospital
user231@example.com,Chris Hani Baragwanath Hospital,Livingstone Hospital,George Hospital,Tygerberg Hospital
user232@example.com,Chris Hani Baragwanath Hospital,Leratong Hospital,Witbank Hospital,Tygerberg Hospital
user233@example.com,Chris Hani Baragwanath Hospital,Job Shimankana Tabane Hospital,"Madadeni Hospital, New Castle",Ermelo Hospital
user234@example.com,Chris Hani Baragwanath Hospital,Witbank Hospital,George Hospital,"Ngwelezana Hospital, Empangeni"
user235@example.com,Chris Hani Baragwanath Hospital,Nelson Mandela Academic Hospital,General Justice Gizenga Mpanza Hospital,Port Shepstone Hospital
user236@example.com,Chris Hani Baragwanath Hospital,Grey's Hospital,Leratong Hospital,Themba Hospital
user237@example.com,Chris Hani Baragwanath Hospital,Paarl Hospital,George Hospital,Witbank Hospital
user238@example.com,Cofimvaba Hospital,New Somerset Hospital,Livingstone Hospital,"Madadeni Hospital, New Castle"
user239@example.com,Cofimvaba Hospital,Letaba Hospital,Klerksdorp-Tshepong Tertiary Hospital,Leratong Hospital
user240@example.com,Cofimvaba Hospital,Witbank Hospital,King Edward VIII Hospital,General Justice Gizenga Mpanza Hospital
user241@example.com,Dihlabeng Hospital,Livingstone Hospital,Joe Morolong Memorial Hospital,Kalafong Hospital
user242@example.com,Dihlabeng Hospital,Paarl Hospital,Frere Hospital,Tshilidzine Hospital
user243@example.com,Dihlabeng Hospital,Sebokeng Hospital,Kalafong Hospital,Robert Mangaliso Sobukwe Hospital
user244@example.com,Dihlabeng Hospital,Grey's Hospital,Ermelo Hospital,Frere Hospital
user245@example.com,Dihlabeng Hospital,Groote Schuur Hospital,General Justice Gizenga Mpanza Hospital,Sebokeng Hospital
user246@example.com,Dihlabeng Hospital,Potchefstroom Hospital,Rob Ferreira Hospital,Witbank Hospital
